231,14,7,"C70 Cabriolet","N",2011-10-06 10:56:49.043000000
233,4,2,"Celta","S",
234,5,3,"Clio Sedan","N",2011-09-30 11:48:19.640000000
235,3,2,"Focus Hatch ","S",
236,3,3,"Focus Sedan","S",
237,2,3,"Bora","S",
239,15,9,"X5","S",
241,31,3,"S6","S",2010-05-31 11:24:19.263000000
242,31,4,"S6 Avant","S",2010-05-31 11:24:24.090000000
243,31,4,"Allroad","N",2009-12-03 18:49:51.263000000
245,4,1,"Zafira","S",
246,78,7,"Buggy","N",2008-07-10 19:06:39.967000000
247,23,9,"Discovery","S",
248,19,1,"Xsara Picasso","S",
249,9,11,"Bongo","S",
251,1,1,"Doblo","S",2012-05-31 17:08:15.450000000
253,15,6,"Serie 3 - Coupˆ","S",2013-03-13 10:59:20.327000000
254,14,3,"S60","S",2011-03-03 14:31:30.013000000
255,19,3,"C5","S",
257,19,4,"C5 Tourer","S",2013-01-28 17:03:59.717000000
260,39,8,"T4","S",
261,7,6,"C Sportcoup‚","N",2009-12-03 18:10:59.077000000
263,18,9,"PT Cruiser","S",
264,3,2,"Fiesta Hatch","S",2007-06-26 15:08:56.750000000
265,2,2,"Polo","S",
266,17,2,"147","N",2009-12-03 18:25:23.890000000
267,6,2,"307 Hatch","S",
270,5,10,"Master","S",
272,4,1,"Meriva","S",
273,1,2,"Stilo","N",2011-09-28 11:17:35.280000000
275,2,3,"Polo Sedan","S",
277,7,6,"CL","N",2009-12-03 18:11:09.047000000
278,3,9,"Novo EcoSport","N",2013-04-04 11:41:57.043000000
279,15,7,"Z4","S",2003-03-27 10:44:05.937000000
280,6,7,"206 Coup‚ Cabriolet ","N",2010-05-31 12:35:07.793000000
282,6,4,"307 SW","S",2003-04-28 17:07:54.733000000
283,12,1,"New Fit","S",2012-04-04 16:42:11.250000000
284,19,2,"C3","S",2003-05-12 13:07:35.360000000
285,40,8,"CL244","N",2009-12-03 19:10:57.233000000
286,14,9,"XC90","S",2003-06-13 13:10:28.577000000
287,10,9,"X-Terra","S",2003-06-18 11:25:15.980000000
288,19,10,"Jumper","S",2003-07-11 12:10:15.500000000
290,32,3,"X-Type","N",2009-12-03 19:06:46.030000000
293,8,9,"Airtrek","N",2010-05-31 12:29:46.340000000
294,37,9,"Cayenne","N",2009-12-03 19:09:46.373000000
295,4,11,"Montana","S",2003-10-17 17:21:18.903000000
296,41,8,"Hummer","N",2009-12-03 19:11:28.093000000
297,41,9,"Lincoln","N",2009-12-03 19:11:28.093000000
298,41,9,"Cadillac","N",2009-12-03 19:11:28.093000000
299,2,2,"Fox","S",2013-08-01 11:11:00.263000000
300,41,11,"F-150 ","N",2009-12-03 19:11:28.093000000
301,11,9,"Land Cruiser","S",2006-05-13 18:09:23.513000000
302,11,4,"Corolla Fielder","N",2010-05-31 14:59:03.390000000
303,19,1,"C8 ","N",2006-08-09 11:42:03.797000000
304,15,9,"X3","S",2004-06-22 13:32:11.793000000
305,2,9,"Touareg ","S",2004-06-23 15:21:56.983000000
306,14,4,"V50","N",2011-10-06 10:55:23.983000000
307,23,9,"Freelander","S",2009-12-21 17:09:07.513000000
309,43,9,"Rexton","S",2010-05-31 14:53:06.467000000
310,31,3,"RS6","N",2009-12-03 18:50:27.157000000
312,31,4,"RS6 Avant","N",2009-12-03 18:50:42.937000000
314,47,2,"Spyder 550S ","S",2010-01-05 14:53:54.873000000
315,47,2,"Speedster","S",2010-06-10 15:23:43.903000000
316,3,3,"Fiesta Sedan","S",2007-06-20 17:26:22.297000000
317,10,6,"350 Z","S",2005-04-29 17:00:15.873000000
318,18,1,"Grand Caravan","N",2009-12-03 18:27:39.420000000
319,6,1,"807","N",2010-05-31 12:41:04.873000000
320,10,3,"Sentra","S",2005-04-29 17:02:42.327000000
321,6,7,"307 Coup‚ Cabriolet","N",2010-05-31 12:39:55.623000000
322,6,4,"206 SW ","N",2010-05-31 12:35:53.827000000
323,41,9,"Infiniti","N",2009-12-03 19:11:28.093000000
324,41,3,"CLS","N",2009-12-03 19:11:28.093000000
325,8,1,"Grandis","S",2005-04-29 17:02:42.327000000
326,8,3,"Galant","N",2009-12-03 18:13:30.437000000
327,34,3,"ES","S",2006-05-13 14:27:16.090000000
330,15,2,"Serie 1 - Hatch","S",2013-03-13 10:59:07.483000000
331,15,6,"Serie 6 - Coupˆ","S",2013-03-13 10:59:35.140000000
333,9,1,"Carnival","S",2005-05-23 16:44:32.950000000
334,9,3,"Opirus","S",2006-09-01 15:29:24.967000000
335,7,9,"Classe G","N",2010-05-31 12:17:25.310000000
336,10,9,"X-Trail","S",2005-08-05 17:54:59.670000000
337,6,3,"407 Sedan","S",2005-08-05 17:54:37.093000000
338,6,4,"407 SW","S",2005-08-05 17:54:37.093000000
339,34,3,"LS","S",2012-08-01 12:29:01.577000000
340,1,1,"Idea","S",2005-08-31 11:38:17.653000000
341,22,9,"Tucson","S",2005-11-24 10:47:27.653000000
342,3,3,"Fusion","S",2006-05-05 18:37:52.843000000
343,2,4,"SpaceFox","S",2006-05-10 12:33:45.747000000
344,2,3,"Apollo","",2006-05-11 18:32:56.560000000
345,2,2,"Brasilia","",2006-05-11 18:37:22.560000000
346,2,10,"Caravelle","",2006-05-11 18:39:40.327000000
347,2,10,"Eurovan","",2006-05-11 18:43:32.263000000
348,2,3,"Fusca","",2006-05-11 18:49:05.953000000
349,2,3,"Jetta","S",2006-08-04 14:38:21.607000000
350,2,3,"Logus","",2006-05-12 11:32:20.293000000
351,2,3,"Voyage","S",2008-12-03 11:40:39.683000000
352,2,4,"Variant","",2006-05-12 11:31:24.483000000
353,2,6,"SP2","",2006-05-11 18:56:32.500000000
354,2,2,"Pointer","",2006-05-12 11:32:04.233000000
355,4,9,"BONANZA","",2006-05-11 19:27:18.077000000
357,4,11,"C20","",2006-05-11 19:28:27.483000000
358,4,11,"D10","",2006-05-11 19:29:23.060000000
359,4,11,"D20","",2006-05-11 19:29:31.967000000
360,4,4,"IPANEMA","",2006-05-11 19:29:52.577000000
361,4,2,"KADETT","N",2010-07-19 11:50:10.307000000
362,4,2,"MONZA HATCH","",2006-05-11 19:30:55.513000000
363,4,3,"MONZA","",2006-05-11 19:31:09.937000000
365,4,11,"BRASINCA","",2006-05-11 19:36:37.390000000
366,4,6,"Calibra","",2006-05-11 19:38:36.390000000
369,4,3,"Caprice","",2006-05-11 19:41:53.123000000
370,4,4,"Caravan","",2006-05-11 19:43:24.607000000
371,4,6,"Cavalier","",2006-05-11 19:43:55.200000000
372,4,3,"Chevette","",2006-05-11 19:45:13.060000000
373,4,11,"Chevy 500","",2006-05-11 19:47:25.107000000
374,4,11,"Corsa Pick-Up","",2006-05-11 19:51:09.123000000
375,4,4,"Corsa Wagon","",2006-05-11 19:51:42.873000000
376,4,3,"Corsica","",2006-05-11 19:52:38.233000000
377,4,7,"Corvette","",2006-05-11 19:55:24.030000000
378,4,6,"Opala","",2006-05-11 20:00:48.983000000
379,22,9,"Santa Fe","S",2007-09-13 16:00:13.717000000
380,22,9,"Terracan","N",2008-02-07 19:14:11.840000000
